# Omega_m                       Omega_b      neutrino_mass                   H0                       ns                          As                              w0                       wa
2.019200999999999913e-01 4.902668000000000303e-02 2.156866000000000061e-01 7.569132000000000460e+01 1.020853000000000010e+00 2.718256999999999953e-09 -1.105990999999999946e+00 -4.783029999999999782e-01
3.178709000000000118e-01 6.314153000000000127e-02 1.008069000000000048e-01 6.073395000000000010e+01 9.013666000000000178e-01 2.176907999999999861e-09 -9.347685000000000022e-01 -3.256852000000000080e-01
3.197754999999999903e-01 4.722414999999999946e-02 1.074515999999999943e-01 6.784387999999999863e+01 9.552779000000000131e-01 2.044579999999999985e-09 -1.107696000000000014e+00 4.437767000000000239e-01
4.213519000000000014e-01 5.460167999999999966e-02 2.286613000000000118e-01 6.721783000000000641e+01 1.032580999999999971e+00 1.617832000000000003e-09 -9.908683000000000352e-01 2.290140999999999982e-01
1.571591999999999989e-01 4.597193000000000113e-02 3.672775000000000345e-02 6.523551999999999396e+01 1.038132000000000055e+00 1.864875999999999837e-09 -9.160606999999999500e-01 -4.315965999999999969e-01
3.084472999999999798e-01 4.810517000000000265e-02 2.958034999999999970e-01 7.457032999999999845e+01 9.015746999999999511e-01 1.302447000000000062e-09 -9.892533999999999494e-01 2.111630999999999925e-01
2.062750999999999890e-01 6.842882000000000131e-02 1.973518999999999968e-01 6.443724000000000274e+01 1.016238999999999892e+00 2.390511000000000163e-09 -9.662437000000000387e-01 2.490712999999999955e-01
2.595936999999999828e-01 3.839216000000000156e-02 4.659578999999999631e-03 7.315843999999999880e+01 1.031581999999999999e+00 2.987027000000000050e-09 -9.017418999999999851e-01 -4.543618999999999852e-01
1.770491999999999899e-01 3.894584000000000240e-02 2.909420999999999813e-01 7.203728999999999871e+01 1.009439999999999893e+00 1.483686999999999945e-09 -1.063398999999999983e+00 2.784581999999999891e-01
1.971592000000000067e-01 3.174542000000000336e-02 2.069695000000000007e-01 7.182609999999999673e+01 9.871522000000000352e-01 1.260772999999999902e-09 -1.025984999999999925e+00 1.599456999999999962e-02
3.123067999999999955e-01 4.494828000000000018e-02 4.021890999999999661e-02 7.638087000000000160e+01 1.049992999999999954e+00 2.748392999999999982e-09 -1.075495000000000090e+00 3.274131000000000125e-01
3.569725999999999733e-01 4.403262000000000148e-02 4.743093000000000309e-02 6.327951999999999799e+01 9.438735999999999793e-01 1.571153999999999929e-09 -8.942160999999999582e-01 2.758238000000000079e-01
3.861256000000000133e-01 8.935626000000000679e-02 2.589124999999999899e-01 6.376780000000000115e+01 1.035516000000000103e+00 2.970840000000000052e-09 -1.066675999999999958e+00 -2.204220000000000068e-01
1.835807999999999884e-01 1.682068999999999925e-02 2.322961000000000054e-01 7.137403999999999371e+01 9.112495000000000456e-01 2.455278000000000008e-09 -1.053288000000000002e+00 1.160753000000000063e-01
2.176981000000000055e-01 8.303080000000000183e-02 5.896848999999999841e-02 6.855871000000000492e+01 9.535759000000000318e-01 2.192190999999999963e-09 -1.023563999999999918e+00 -3.616296999999999984e-01
4.066957999999999962e-01 5.234267000000000086e-02 1.091091000000000005e-01 6.602101999999999293e+01 1.043206999999999995e+00 1.665987000000000029e-09 -8.571526999999999896e-01 -2.969361999999999835e-01
4.233562000000000158e-01 4.131507999999999708e-02 2.859781000000000128e-01 6.267672000000000310e+01 9.143158000000000118e-01 2.250673000000000175e-09 -1.040200000000000014e+00 -2.030772000000000133e-01
4.185949999999999949e-01 2.657723999999999850e-02 6.043562999999999713e-02 6.428491999999999962e+01 1.024393000000000109e+00 2.081816000000000124e-09 -1.015306000000000042e+00 -4.429949000000000248e-01
1.686340000000000061e-01 1.756701999999999916e-02 1.487253000000000047e-01 7.604981999999999687e+01 1.032264000000000070e+00 2.314807000000000069e-09 -1.159968000000000110e+00 -2.816535000000000011e-01
3.055721000000000132e-01 8.901797000000000182e-02 2.200339000000000045e-01 6.140312999999999732e+01 9.634861999999999593e-01 1.474140000000000040e-09 -1.151764000000000010e+00 -1.995580000000000132e-01
4.257116000000000233e-01 4.962120999999999893e-02 8.246103999999999934e-02 7.935034000000000276e+01 9.345025000000000137e-01 2.799057999999999828e-09 -9.133495000000000363e-01 4.120512000000000064e-01
3.502065999999999790e-01 4.825328000000000256e-02 8.180477999999999708e-03 7.113732000000000255e+01 9.004782000000000064e-01 1.689646000000000019e-09 -1.027727999999999975e+00 1.359810999999999936e-01
3.799411999999999789e-01 7.275154000000000343e-02 7.541978000000000570e-02 7.337259000000000242e+01 9.386449999999999516e-01 1.268972999999999936e-09 -1.110611999999999933e+00 -2.385800999999999894e-01
4.176997000000000071e-01 5.597089000000000231e-02 1.575265000000000137e-01 6.252065000000000339e+01 9.507457000000000269e-01 2.965715000000000031e-09 -8.734908999999999590e-01 3.764408000000000198e-01
3.937012999999999763e-01 3.760640999999999984e-02 1.138706000000000024e-01 7.128172000000000708e+01 9.174506999999999524e-01 1.716513000000000026e-09 -9.312156999999999796e-01 6.178039999999999921e-02
3.957007000000000163e-01 2.041721000000000161e-02 2.407865999999999895e-01 6.847462000000000160e+01 9.949780999999999764e-01 2.933223999999999962e-09 -9.923534000000000521e-01 3.361364000000000019e-01
4.191796999999999884e-01 7.595393999999999757e-02 1.851592999999999989e-01 6.810079000000000349e+01 1.012883999999999896e+00 1.303176000000000009e-09 -1.000515999999999961e+00 1.870828999999999964e-01
3.374865000000000226e-01 4.956532999999999772e-02 1.331321000000000032e-01 7.670047999999999888e+01 1.033654999999999990e+00 2.022133999999999957e-09 -1.141118999999999994e+00 4.533397000000000121e-01
3.350928000000000240e-01 1.993394999999999889e-02 3.031369000000000077e-02 7.925137999999999749e+01 9.799619999999999997e-01 2.603273999999999876e-09 -1.033041000000000098e+00 2.215195000000000081e-01
3.772012000000000143e-01 6.726350000000000384e-02 2.054487000000000119e-01 6.989248000000000616e+01 1.001932000000000045e+00 1.525047000000000100e-09 -1.136139000000000010e+00 1.041948000000000041e-01
2.392566000000000137e-01 3.130472000000000116e-02 2.888777000000000150e-01 7.703789999999999338e+01 1.010580000000000034e+00 1.943929999999999924e-09 -9.863332999999999684e-01 2.319894000000000123e-01
1.933786999999999867e-01 4.832970999999999795e-02 5.708511000000000314e-03 6.980952999999999520e+01 1.002461999999999964e+00 2.195764999999999810e-09 -9.490431000000000283e-01 -9.447679000000000493e-02
2.971515000000000128e-01 9.736261000000000221e-02 1.812460999999999933e-01 6.010285999999999973e+01 9.089002999999999943e-01 1.850528000000000002e-09 -9.790535000000000210e-01 -1.010072999999999943e-01
4.109820000000000140e-01 4.366980000000000167e-02 2.645371000000000250e-01 6.107484000000000179e+01 9.261521000000000337e-01 2.657111999999999954e-09 -1.178552000000000044e+00 -2.928885999999999989e-01
3.575822000000000167e-01 4.817467000000000277e-02 3.598149999999999959e-02 6.793475999999999715e+01 1.008906000000000081e+00 1.639813000000000074e-09 -1.155655000000000099e+00 1.301094999999999891e-01
2.798436999999999730e-01 2.843744000000000133e-02 2.857352000000000156e-02 6.198696000000000339e+01 1.004658999999999969e+00 1.934503999999999920e-09 -1.074556999999999984e+00 -7.854751000000000094e-02
3.905296999999999796e-01 1.374934000000000052e-02 1.185203999999999980e-01 6.460415000000000418e+01 9.894304000000000432e-01 2.200887000000000115e-09 -1.087952000000000030e+00 -3.868604999999999960e-01
2.929383999999999877e-01 3.351980000000000237e-02 4.952262000000000330e-02 6.678660999999999603e+01 1.006575999999999915e+00 1.718899000000000022e-09 -1.066065000000000040e+00 3.678585999999999800e-01
4.479693000000000147e-01 5.714696999999999832e-02 1.383110999999999924e-01 7.440435999999999694e+01 9.831910000000000371e-01 1.808544999999999983e-09 -8.424317000000000055e-01 -4.394643999999999773e-01
4.406951000000000063e-01 4.222615999999999870e-02 2.081565999999999972e-01 7.772956999999999539e+01 1.046926999999999941e+00 2.407505000000000156e-09 -9.576430000000000220e-01 -1.828856000000000093e-01
4.167148999999999992e-01 3.022555000000000033e-02 2.556548000000000154e-01 7.476176999999999850e+01 1.005606000000000000e+00 2.459161999999999826e-09 -9.494730999999999588e-01 -2.161949999999999983e-01
3.600533000000000206e-01 3.319554999999999728e-02 6.629258999999999846e-02 6.517400000000000659e+01 1.010194000000000036e+00 1.506475999999999917e-09 -1.118182999999999927e+00 -2.470143999999999951e-01
2.120165999999999995e-01 4.425677000000000083e-02 7.328948000000000407e-02 7.297427999999999315e+01 9.134613999999999789e-01 1.741068000000000051e-09 -8.119431999999999761e-01 -1.158312000000000057e-02
2.218398000000000037e-01 4.381460999999999689e-02 2.750238999999999878e-01 7.813647000000000276e+01 1.045431999999999917e+00 2.885586000000000131e-09 -8.625523999999999969e-01 3.917915000000000147e-01
2.301397000000000026e-01 3.100228999999999832e-02 2.819448999999999983e-01 6.437636000000000536e+01 1.048275000000000068e+00 2.522384000000000169e-09 -8.835956000000000365e-01 -2.619953999999999894e-01
3.212104000000000070e-01 3.842353999999999908e-02 7.188754999999999451e-02 7.690993000000000279e+01 9.991738000000000008e-01 2.964690999999999932e-09 -9.846369999999999845e-01 4.285280000000000200e-01
2.612187999999999732e-01 3.526834000000000219e-02 1.430646999999999891e-01 7.952362999999999715e+01 9.006939999999999946e-01 2.613659999999999844e-09 -1.121957000000000093e+00 -2.821428999999999951e-02
3.474542999999999937e-01 4.244748000000000271e-02 2.809537999999999758e-01 6.299262000000000228e+01 9.576751999999999487e-01 1.900645000000000109e-09 -9.374365999999999532e-01 -3.730636999999999981e-01
3.556159999999999877e-01 3.088226999999999986e-02 1.401736000000000093e-01 6.222955000000000325e+01 1.014532999999999907e+00 1.882483999999999928e-09 -1.181742000000000070e+00 3.156108000000000247e-01
2.854582999999999982e-01 3.744605000000000156e-02 1.357174999999999909e-01 7.255764999999999532e+01 1.048521999999999954e+00 1.995626999999999937e-09 -8.523756000000000110e-01 -2.943206999999999907e-01
2.954570999999999725e-01 4.470070000000000293e-02 9.668010000000000492e-02 7.368449999999999989e+01 9.176699000000000384e-01 2.755172999999999829e-09 -9.694180999999999493e-01 -1.234167999999999932e-01
2.864364999999999828e-01 4.137173999999999713e-02 2.693662000000000001e-01 7.307021000000000299e+01 1.023342999999999892e+00 2.910860999999999922e-09 -1.069768999999999970e+00 2.690542000000000211e-01
2.841023999999999772e-01 3.766463999999999923e-02 1.015879999999999977e-01 7.717419999999999902e+01 1.044248999999999983e+00 2.937607000000000028e-09 -1.078511999999999915e+00 -1.793085000000000095e-01
1.967782999999999893e-01 4.553418000000000049e-02 2.703240999999999890e-03 6.942028999999999428e+01 9.126490000000000435e-01 2.088333000000000092e-09 -8.667941000000000118e-01 4.829026000000000152e-01
4.039546999999999999e-01 3.613211999999999674e-02 2.172649000000000108e-01 7.847690000000000055e+01 1.046394999999999964e+00 1.597235999999999922e-09 -8.732625000000000526e-01 -8.159131999999999496e-02
3.428219000000000127e-01 4.581135000000000068e-02 1.668854999999999991e-02 7.796389000000000635e+01 9.041139000000000259e-01 1.481749999999999975e-09 -1.139307999999999987e+00 -3.511857999999999924e-01
3.499102000000000046e-01 4.125663999999999720e-02 1.154014000000000012e-01 6.186730000000000018e+01 9.735352999999999923e-01 1.539522999999999999e-09 -1.089164000000000021e+00 -2.340644000000000058e-01
4.241116999999999804e-01 4.856859000000000176e-02 9.489018999999999926e-02 6.369581000000000159e+01 9.720252999999999810e-01 2.877366999999999831e-09 -1.030194000000000054e+00 3.003719000000000250e-01
4.299108999999999847e-01 3.915790000000000243e-02 1.789250000000000007e-01 6.881325999999999965e+01 1.037074999999999969e+00 1.698982000000000079e-09 -8.022327000000000208e-01 -2.523977000000000026e-01
2.254503999999999952e-01 3.561787000000000286e-02 8.087262000000000617e-02 7.124079999999999302e+01 1.000714000000000103e+00 1.514086000000000059e-09 -9.973910000000000275e-01 1.786535999999999957e-01
2.554018000000000121e-01 4.898944000000000215e-02 1.550805000000000100e-01 6.015646000000000271e+01 9.079447000000000489e-01 2.510237000000000086e-09 -1.169283999999999990e+00 -1.557204000000000088e-01
2.769540999999999809e-01 3.923077999999999982e-02 6.195786999999999822e-02 7.146687000000000012e+01 9.815475999999999646e-01 2.517819999999999894e-09 -8.557192999999999605e-01 -2.187387000000000012e-02
2.092323000000000099e-01 4.113537999999999917e-02 2.766238999999999781e-01 7.846026000000000522e+01 9.529355000000000464e-01 1.670152999999999992e-09 -1.034988999999999937e+00 3.704937999999999843e-01
2.336321000000000092e-01 4.434098999999999680e-02 1.213853000000000015e-01 6.719261000000000195e+01 1.022027000000000019e+00 2.051074000000000066e-09 -9.511971000000000176e-01 -4.743478999999999890e-01
4.460524000000000155e-01 4.292918999999999902e-02 1.291230999999999907e-01 7.792296000000000333e+01 9.788436999999999832e-01 2.854234000000000010e-09 -9.569187000000000110e-01 -4.047433000000000280e-02
1.528028999999999915e-01 4.694543000000000327e-02 6.502700000000000147e-02 6.025551999999999708e+01 9.192145000000000454e-01 2.615198999999999915e-09 -1.044747000000000092e+00 -9.270726999999999440e-02
1.993950999999999918e-01 4.977050000000000224e-02 1.537159999999999915e-01 7.361453000000000202e+01 9.299967000000000095e-01 2.683426999999999981e-09 -9.839436000000000293e-01 -3.825183999999999807e-01
3.665441999999999867e-01 3.031711999999999949e-02 1.666474000000000011e-01 7.166382000000000119e+01 9.855216999999999450e-01 1.267473000000000096e-09 -1.162304999999999922e+00 2.354542000000000024e-01
2.911995000000000000e-01 4.251259999999999761e-02 4.990932000000000007e-04 6.774303999999999348e+01 9.643188000000000315e-01 2.990499999999999961e-09 -1.149860000000000104e+00 -6.069171999999999761e-02
1.769565999999999917e-01 4.529600999999999766e-02 2.949156000000000000e-02 6.640516999999999825e+01 9.912969999999999837e-01 2.592852999999999918e-09 -9.779425000000000479e-01 -3.860279999999999823e-01
2.885910999999999893e-01 3.125930999999999849e-02 8.823103000000000196e-02 7.869607000000000596e+01 1.002537999999999929e+00 2.980589999999999941e-09 -1.013562000000000074e+00 3.793536000000000130e-01
1.733931999999999973e-01 4.920072000000000334e-02 2.796557000000000071e-01 7.881936000000000320e+01 9.958194000000000212e-01 1.310700000000000034e-09 -8.353228000000000320e-01 -3.122700000000000128e-02
1.691123999999999961e-01 4.611530999999999964e-02 2.655678000000000205e-01 6.648472999999999900e+01 9.680769000000000180e-01 2.494778000000000130e-09 -1.132484999999999964e+00 -4.997833999999999888e-01
3.150252000000000052e-01 4.203642999999999963e-02 1.191305000000000003e-01 6.149730000000000274e+01 9.393964000000000203e-01 2.761161999999999817e-09 -1.084996000000000071e+00 -1.401899000000000062e-01
4.424122999999999806e-01 4.453555000000000014e-02 2.109309000000000045e-01 7.998781999999999925e+01 1.040165999999999924e+00 1.793967000000000036e-09 -8.160937000000000330e-01 2.840444999999999776e-01
4.434398999999999980e-01 4.197755999999999710e-02 1.756069000000000102e-01 7.970569999999999311e+01 1.021033999999999997e+00 2.676761999999999984e-09 -1.047595000000000054e+00 1.033199000000000062e-01
4.353798999999999864e-01 3.666871000000000019e-02 8.186284000000000616e-02 6.120452000000000226e+01 9.405170999999999948e-01 1.552157000000000020e-09 -1.051355000000000040e+00 1.464807999999999943e-01
3.097446999999999839e-01 4.215196999999999694e-02 2.099783000000000066e-01 6.904646999999999935e+01 1.039541999999999966e+00 1.903530999999999845e-09 -9.267957000000000001e-01 5.413587999999999734e-02
3.874445999999999724e-01 3.549101999999999812e-02 2.682746000000000089e-02 7.522306000000000381e+01 9.603838000000000097e-01 2.557686000000000053e-09 -1.093588999999999922e+00 7.193389999999999507e-02
1.585255999999999887e-01 4.158599000000000323e-02 1.444873000000000129e-01 7.243363999999999692e+01 1.029398000000000035e+00 2.154634999999999974e-09 -9.157967000000000191e-01 1.820463999999999971e-01
1.792905999999999944e-01 3.109307000000000043e-02 2.142042000000000113e-01 7.087228000000000350e+01 9.029327000000000325e-01 2.644819999999999972e-09 -9.536675999999999487e-01 2.373032999999999948e-01
4.338448999999999778e-01 3.780602000000000268e-02 1.616026999999999880e-01 7.487533000000000527e+01 9.069614999999999760e-01 2.396882999999999818e-09 -8.473905999999999938e-01 3.386706999999999912e-01
3.441193000000000168e-01 4.077224000000000126e-02 2.306369000000000058e-01 7.683231999999999573e+01 9.238420000000000520e-01 2.279140000000000052e-09 -1.174989000000000061e+00 -2.739338000000000051e-01
1.807782000000000000e-01 3.997106000000000270e-02 2.167460999999999971e-01 6.102756000000000114e+01 1.015424000000000104e+00 2.092603000000000120e-09 -8.260914000000000312e-01 3.226087999999999734e-01
3.941008999999999762e-01 4.266347999999999668e-02 2.548586999999999936e-01 6.050240999999999758e+01 9.533169000000000226e-01 1.286546999999999941e-09 -8.495985999999999816e-01 -4.630091000000000068e-01
2.500109999999999832e-01 3.208753000000000299e-02 1.322437999999999947e-01 7.739422000000000423e+01 1.023792000000000035e+00 1.648107999999999992e-09 -8.411349000000000187e-01 3.871029999999999749e-01
1.820907999999999971e-01 3.791537999999999853e-02 1.286356999999999917e-01 7.305168999999999357e+01 9.198283000000000431e-01 2.451413999999999947e-09 -1.197116000000000069e+00 2.456577000000000066e-01
2.735384000000000149e-01 3.441274999999999890e-02 2.349149000000000098e-01 7.497105999999999426e+01 9.649535999999999669e-01 2.833864999999999912e-09 -1.020839000000000052e+00 3.977479999999999905e-01
3.893236999999999948e-01 3.116259999999999863e-02 2.744889999999999830e-01 6.238385000000000247e+01 1.024594999999999922e+00 1.727040000000000066e-09 -9.906007999999999480e-01 -3.449326999999999810e-01
2.114795999999999898e-01 3.391660999999999981e-02 9.703961999999999311e-02 6.893822000000000116e+01 1.041933999999999916e+00 1.469281999999999931e-09 -9.006760999999999795e-01 -2.872273000000000187e-01
2.104399000000000131e-01 3.399494000000000127e-02 2.483773999999999982e-01 7.051610999999999763e+01 9.592979999999999841e-01 2.182938000000000098e-09 -1.108570999999999973e+00 3.555250999999999828e-01
2.575705999999999829e-01 4.510752999999999985e-02 1.709899000000000002e-01 7.059774000000000171e+01 9.621323999999999987e-01 2.359662999999999816e-09 -1.146498000000000017e+00 6.733875999999999751e-02
3.585634999999999795e-01 4.590000000000000330e-02 1.261391000000000040e-01 6.750285999999999831e+01 9.071293999999999746e-01 2.109964999999999961e-09 -1.085739000000000010e+00 2.617065000000000086e-01
4.206702999999999970e-01 4.702081999999999790e-02 1.101731999999999989e-01 6.071320000000000050e+01 9.379288999999999543e-01 2.075905000000000185e-09 -9.127250999999999559e-01 1.295814999999999884e-01
3.455289999999999750e-01 4.100824000000000136e-02 6.296470999999999318e-02 6.359127000000000152e+01 9.231920000000000126e-01 2.402481000000000071e-09 -1.183616999999999919e+00 1.110978999999999994e-01
1.900110999999999883e-01 4.130376999999999660e-02 2.678243000000000151e-01 6.178703999999999752e+01 9.838959999999999928e-01 2.766804999999999939e-09 -9.111441999999999597e-01 -4.232732000000000161e-01
2.608542999999999834e-01 3.656842999999999899e-02 2.785500000000000198e-01 6.821045999999999765e+01 9.373730000000000118e-01 2.478657000000000078e-09 -1.061093000000000064e+00 6.385480000000000322e-02
2.481597000000000108e-01 4.355149999999999993e-02 2.267322999999999977e-01 7.020895000000000152e+01 9.898346999999999563e-01 2.038856000000000099e-09 -8.612379000000000007e-01 2.146357999999999877e-01
1.536598999999999882e-01 4.085372000000000309e-02 1.514513000000000109e-01 7.224805999999999528e+01 9.032379000000000380e-01 2.352839000000000006e-09 -1.006138999999999895e+00 -3.049553999999999876e-01
4.005457000000000045e-01 3.334300999999999932e-02 2.136189000000000004e-01 7.068049999999999500e+01 9.725179999999999936e-01 2.302623000000000187e-09 -9.645629999999999482e-01 3.022234999999999852e-02
2.511339000000000210e-01 3.351628999999999720e-02 1.417567000000000133e-01 7.343170000000000641e+01 9.416666999999999677e-01 2.441285000000000013e-09 -1.154384999999999994e+00 -4.183710999999999958e-01
3.020366999999999913e-01 4.931246000000000240e-02 9.907448000000000643e-02 6.385233000000000203e+01 9.037659000000000109e-01 1.973207999999999831e-09 -1.184744999999999937e+00 3.657572000000000045e-01
4.097162999999999777e-01 4.099855000000000166e-02 2.921453999999999995e-01 7.856180999999999415e+01 1.017106000000000066e+00 1.821713999999999940e-09 -8.305103000000000346e-01 -3.143869000000000247e-01
1.504405000000000048e-01 4.849838000000000066e-02 1.846157999999999966e-01 7.283911000000000513e+01 9.454388999999999710e-01 2.499792999999999828e-09 -1.142860999999999905e+00 4.892002999999999768e-01
4.137099000000000193e-01 4.709179000000000143e-02 1.501831000000000138e-01 7.415292999999999779e+01 1.012140000000000040e+00 2.843247999999999858e-09 -1.130166999999999922e+00 -2.665968000000000226e-01
1.863479000000000108e-01 4.333116000000000051e-02 1.644914000000000098e-01 7.623595000000000255e+01 9.771203000000000527e-01 1.819781999999999910e-09 -9.551773999999999543e-01 2.190236000000000127e-01
3.537267000000000050e-01 3.737030999999999686e-02 5.955008999999999997e-02 7.575016999999999712e+01 9.906308999999999809e-01 2.787671999999999966e-09 -1.054181000000000035e+00 -3.024639000000000078e-01
1.785069999999999990e-01 4.414594000000000157e-02 1.497967000000000048e-01 6.449629000000000190e+01 9.565711000000000075e-01 2.692534999999999946e-09 -9.041496999999999451e-01 -4.333426000000000222e-01
4.497650000000000259e-01 4.674128000000000310e-02 2.463148000000000004e-01 7.407535000000000025e+01 1.025322999999999984e+00 2.702182999999999994e-09 -9.728415000000000257e-01 3.440406999999999771e-01
3.004095999999999989e-01 4.151209000000000149e-02 2.357324000000000086e-01 6.805664000000000158e+01 9.625692999999999611e-01 1.382828000000000056e-09 -1.171904999999999974e+00 -4.946020999999999890e-01
3.640602000000000005e-01 3.199936999999999920e-02 2.711740000000000261e-01 6.467699000000000353e+01 1.029673000000000060e+00 1.837400000000000086e-09 -1.007991000000000081e+00 -2.103915000000000039e-03
1.668151999999999968e-01 3.973733000000000126e-02 7.483193999999999957e-02 7.178270999999999447e+01 9.060112000000000165e-01 1.915890000000000091e-09 -1.187596000000000096e+00 1.926463999999999954e-01
1.633969999999999867e-01 3.248940000000000161e-02 1.428303999999999963e-01 6.953793000000000291e+01 1.014070000000000027e+00 1.570208999999999990e-09 -9.068749999999999867e-01 9.088491999999999404e-02
3.722371999999999903e-01 3.435490000000000071e-02 1.311590999999999972e-02 6.565476999999999919e+01 9.145434999999999537e-01 2.550604999999999796e-09 -1.019214999999999982e+00 3.510829999999999784e-01
2.523329000000000266e-01 3.692084999999999811e-02 7.807757999999999365e-02 7.537801000000000329e+01 1.028623000000000065e+00 1.408613000000000086e-09 -1.010890000000000066e+00 -2.588565999999999923e-01
2.225328000000000028e-01 4.840037999999999979e-02 1.110547000000000062e-01 6.572154000000000451e+01 9.987065999999999999e-01 1.591418000000000056e-09 -9.414190000000000058e-01 1.227233999999999964e-01
3.258958000000000133e-01 4.536637999999999782e-02 3.893670999999999938e-02 6.159494999999999720e+01 1.016858999999999957e+00 2.777346000000000099e-09 -9.205550999999999595e-01 4.687244999999999884e-01
3.690854000000000079e-01 3.982585000000000292e-02 1.989106999999999958e-01 7.171783000000000641e+01 9.311970999999999998e-01 2.150509999999999846e-09 -1.001560000000000006e+00 -3.409418000000000171e-01
1.952388999999999930e-01 3.827934000000000198e-02 1.864762000000000086e-01 7.776192000000000348e+01 9.707516000000000478e-01 1.364508999999999966e-09 -1.061433999999999989e+00 -4.272255999999999831e-01
2.363031999999999910e-01 4.561838000000000004e-02 1.947079999999999922e-01 6.735398999999999603e+01 9.344198999999999700e-01 1.436191999999999997e-09 -1.137739999999999974e+00 2.408531999999999895e-01
3.388376000000000166e-01 4.305533000000000277e-02 2.493228999999999862e-01 6.914324000000000581e+01 9.572059000000000539e-01 1.391419999999999937e-09 -9.368516000000000066e-01 1.717384000000000133e-01
3.512211000000000083e-01 3.715274999999999828e-02 5.612517999999999674e-02 7.590895000000000437e+01 9.020365000000000189e-01 2.895016000000000170e-09 -9.085096000000000283e-01 -1.379288999999999932e-01
3.850952999999999737e-01 4.281697999999999754e-02 7.985979999999999468e-02 6.977182999999999424e+01 1.030683000000000016e+00 2.339666999999999920e-09 -8.648567999999999811e-01 3.114953999999999779e-01
1.844322999999999935e-01 4.547430999999999696e-02 9.514211000000000196e-02 6.034805999999999671e+01 9.542507000000000073e-01 2.428046999999999980e-09 -1.142519999999999980e+00 4.834284999999999832e-01
3.803214999999999790e-01 3.822086999999999707e-02 1.630437000000000136e-01 7.481363000000000341e+01 9.558771000000000351e-01 2.208464999999999983e-09 -8.575083000000000011e-01 4.226159999999999917e-01
4.115627000000000035e-01 3.055232999999999907e-02 1.564744000000000135e-01 6.578668000000000404e+01 9.103624000000000160e-01 2.927806999999999917e-09 -9.320716000000000001e-01 2.579083999999999821e-01
2.298984000000000028e-01 4.448378000000000054e-02 1.951248999999999900e-01 6.258276000000000039e+01 9.702633000000000507e-01 2.666540000000000182e-09 -9.399068999999999896e-01 -4.520621000000000222e-01
3.314006999999999925e-01 4.190258000000000177e-02 1.794702999999999993e-01 6.617139000000000237e+01 1.037622999999999962e+00 2.707408000000000046e-09 -8.285388999999999671e-01 4.324205999999999883e-02
4.044621999999999939e-01 4.657435000000000047e-02 1.881924000000000097e-01 7.555004999999999882e+01 9.693819999999999659e-01 1.709880000000000097e-09 -1.167507000000000073e+00 -2.845323000000000158e-01
2.469822999999999880e-01 3.360255999999999660e-02 2.458269999999999900e-01 6.632277999999999452e+01 9.462184999999999624e-01 1.767617999999999923e-09 -1.038019999999999943e+00 1.829860999999999988e-02
3.237028000000000127e-01 4.938010000000000316e-02 1.721232000000000040e-01 7.983271999999999480e+01 9.748147000000000340e-01 1.876529000000000024e-09 -1.166296999999999917e+00 3.171713999999999922e-01
3.403984999999999927e-01 3.491937999999999986e-02 1.657272999999999941e-01 6.135314999999999941e+01 1.045625000000000027e+00 2.415710000000000129e-09 -8.713659999999999739e-01 4.066339999999999955e-01
